       1       1       1      95    16.0
       1       1       1     175    30.4
       1       1       1     250    34.8
       1       1       1     350    37.2
       1       1       1     500    35.3
       1       1       1     675    39.2
       1       1       1    1000    39.7
       1       1       2      95    13.6
       1       1       2     175    27.3
       1       1       2     250    37.1
       1       1       2     350    41.8
       1       1       2     500    40.6
       1       1       2     675    41.4
       1       1       2    1000    44.3
       1       1       3      95    16.2
       1       1       3     175    32.4
       1       1       3     250    40.3
       1       1       3     350    42.1
       1       1       3     500    42.9
       1       1       3     675    43.9
       1       1       3    1000    45.5
       1       2       4      95    14.2
       1       2       4     175    24.1
       1       2       4     250    30.3
       1       2       4     350    34.6
       1       2       4     500    32.5
       1       2       4     675    35.4
       1       2       4    1000    38.7
       1       2       5      95     9.3
       1       2       5     175    27.3
       1       2       5     250    35.0
       1       2       5     350    38.8
       1       2       5     500    38.6
       1       2       5     675    37.5
       1       2       5    1000    42.4
       1       2       6      95    15.1
       1       2       6     175    21.0
       1       2       6     250    38.1
       1       2       6     350    34.0
       1       2       6     500    38.9
       1       2       6     675    39.6
       1       2       6    1000    41.4
       2       1       7      95    10.6
       2       1       7     175    19.2
       2       1       7     250    26.2
       2       1       7     350    30.0
       2       1       7     500    30.9
       2       1       7     675    32.4
       2       1       7    1000    35.5
       2       1       8      95    12.0
       2       1       8     175    22.0
       2       1       8     250    30.6
       2       1       8     350    31.8
       2       1       8     500    32.4
       2       1       8     675    31.1
       2       1       8    1000    31.5
       2       1       9      95    11.3
       2       1       9     175    19.4
       2       1       9     250    25.8
       2       1       9     350    27.9
       2       1       9     500    28.5
       2       1       9     675    28.1
       2       1       9    1000    27.8
       2       2      10      95    10.5
       2       2      10     175    14.9
       2       2      10     250    18.1
       2       2      10     350    18.9
       2       2      10     500    19.5
       2       2      10     675    22.2
       2       2      10    1000    21.9
       2       2      11      95     7.7
       2       2      11     175    11.4
       2       2      11     250    12.3
       2       2      11     350    13.0
       2       2      11     500    12.5
       2       2      11     675    13.7
       2       2      11    1000    14.4
       2       2      12      95    10.6
       2       2      12     175    18.0
       2       2      12     250    17.9
       2       2      12     350    17.9
       2       2      12     500    17.9
       2       2      12     675    18.9
       2       2      12    1000    19.9
