      60  225.60
      60  189.25
      60  245.86
      60  284.25
      60  281.34
      80  294.22
      80  250.71
      80  272.36
      80  287.13
      80  262.89
     100  318.21
     100  249.14
     100  238.34
     100  298.36
     100  312.46
     120  234.05
     120  293.08
     120  299.33
     120  319.85
     120  300.79
     150  265.53
     150  262.88
     150  367.48
     150  280.29
     150  274.13
     200  278.55
     200  360.15
     200  323.82
     200  373.39
     200  273.90
