       1   46.75   92.64
       2   42.18   88.81
       3   41.86   86.44
       4   43.29    88.8
       5   42.12   86.38
       6   41.78   89.87
       7   41.47   88.53
       8   42.21   91.11
       9   41.03   81.22
      10   39.84   83.72
      11   39.15   84.54
      12    39.2   85.66
      13   39.52   85.87
      14   38.05   85.23
      15   39.16   87.75
      16   38.59   92.62
      17   36.54   91.56
      18   37.03   84.12
      19    36.6   81.22
      20   37.58   83.35
      21   36.48   82.29
      22   38.25   80.92
      23   37.26   76.92
      24   38.59   78.35
      25   40.89   74.57
      26   37.66    71.6
      27   38.79   65.64
      28   38.78   62.09
      29    36.7   61.66
      30    35.1   77.14
      31   33.75   75.47
      32   34.29   70.37
      33   32.26   66.71
      34   30.97   64.37
      35    28.2   56.09
      36   24.58   50.25
      37   20.25   43.65
      38   17.09   38.01
      39   14.35    31.4
      40   13.11   29.45
      41     9.5   29.02
      42    9.74   19.05
      43    9.34   20.36
      44    7.51   17.68
      45    8.35   19.23
      46    6.25   14.92
      47    5.45   11.44
      48    3.79   12.69
